Time(s),Vout(V),Iload(A)
0.0000000,5.2210,-3.16604
0.0000100,6.2101,-3.07088
0.0000200,8.0917,-2.90800
0.0000300,8.2721,-2.93586
0.0000400,9.4247,-2.87946
0.0000500,10.0088,-2.66844
0.0000600,11.0121,-2.65208
0.0000700,11.2051,-2.61445
0.0000800,12.4861,-2.58021
0.0000900,13.1963,-2.56703
0.0001000,14.3125,-2.42721
0.0001100,14.7699,-2.31659
0.0001200,16.5410,-2.25018
0.0001300,16.2449,-2.24268
0.0001400,17.2009,-2.20744
0.0001500,18.3878,-2.04727
0.0001600,19.8272,-1.95329
0.0001700,19.3102,-2.04884
0.0001800,21.0276,-1.80730
0.0001900,21.3016,-1.76129
0.0002000,23.1182,-1.85247
0.0002100,23.3673,-1.66500
0.0002200,23.2543,-1.63239
0.0002300,24.5207,-1.55089
0.0002400,25.0342,-1.53261
0.0002500,25.7365,-1.44064
0.0002600,27.6290,-1.36478
0.0002700,28.7764,-1.43119
0.0002800,29.4809,-1.34841
0.0002900,29.8628,-1.17188
0.0003000,30.4248,-1.16898
0.0003100,30.9582,-1.15017
0.0003200,32.7482,-1.13733
0.0003300,33.3755,-1.01936
0.0003400,34.0227,-1.00019
0.0003500,34.4645,-0.91236
0.0003600,34.7355,-0.81381
0.0003700,35.6172,-0.76828
0.0003800,36.2474,-0.74782
0.0003900,37.1633,-0.63410
0.0004000,37.8850,-0.53691
0.0004100,39.0618,-0.65916
0.0004200,40.7378,-0.46227
0.0004300,40.5002,-0.55813
0.0004400,41.3228,-0.45364
0.0004500,42.3907,-0.41818
0.0004600,43.6707,-0.33567
0.0004700,44.2136,-0.21716
0.0004800,43.9470,-0.22003
0.0004900,44.8661,-0.18719
0.0005000,45.9789,-0.09945
0.0005100,47.2882,-0.16083
0.0005200,47.2411,0.03568
0.0005300,48.1710,0.09568
0.0005400,49.3481,0.01920
0.0005500,49.6391,0.06639
0.0005600,51.4609,0.10828
0.0005700,52.0780,0.11827
0.0005800,51.7470,0.17913
0.0005900,53.6038,0.23123
0.0006000,53.6831,0.31511
0.0006100,54.4520,0.33484
0.0006200,55.6294,0.38407
0.0006300,55.9981,0.39676
0.0006400,57.5465,0.47132
0.0006500,57.1209,0.50937
0.0006600,58.8401,0.46527
0.0006700,58.8532,0.68809
0.0006800,59.2693,0.59925
0.0006900,60.1237,0.61092
0.0007000,60.7477,0.68043
0.0007100,62.4858,0.73033
0.0007200,63.5625,0.75359
0.0007300,63.1974,0.74132
0.0007400,64.4138,0.92415
0.0007500,64.5614,0.79412
0.0007600,65.3618,0.81905
0.0007700,66.1091,0.88725
0.0007800,67.0448,0.92426
0.0007900,67.9756,1.03634
0.0008000,68.2220,1.10261
0.0008100,68.9263,0.98179
0.0008200,69.9253,1.11025
0.0008300,70.8984,1.18927
0.0008400,71.9393,1.15425
0.0008500,72.3760,1.10976
0.0008600,72.9663,1.22921
0.0008700,73.3086,1.28419
0.0008800,74.3747,1.24099
0.0008900,75.1666,1.25834
0.0009000,76.3366,1.22650
0.0009100,75.7839,1.31396
0.0009200,76.5916,1.41394
0.0009300,77.5047,1.43131
0.0009400,78.6044,1.44772
0.0009500,78.5774,1.35878
0.0009600,80.3465,1.38628
0.0009700,80.1145,1.51667
0.0009800,81.4811,1.43563
0.0009900,82.5747,1.36728
0.0010000,83.2526,1.43360
0.0010100,82.7017,1.40238
0.0010200,84.0974,1.58373
0.0010300,84.4130,1.47213
0.0010400,85.8574,1.55358
0.0010500,86.6348,1.50812
0.0010600,85.9788,1.56825
0.0010700,86.7320,1.61284
0.0010800,87.9186,1.54839
0.0010900,89.2846,1.67030
0.0011000,89.0386,1.67714
0.0011100,90.4587,1.61871
0.0011200,89.9356,1.68186
0.0011300,91.5021,1.54643
0.0011400,91.7517,1.59616
0.0011500,91.9290,1.68450
0.0011600,92.5521,1.70962
0.0011700,94.2634,1.67605
0.0011800,94.6074,1.63395
0.0011900,94.9656,1.67978
0.0012000,96.0986,1.60796
0.0012100,95.9217,1.67667
0.0012200,97.1019,1.62863
0.0012300,97.9759,1.60919
0.0012400,97.6517,1.69687
0.0012500,97.9737,1.74313
0.0012600,99.5466,1.80534
0.0012700,99.8897,1.70381
0.0012800,99.7790,1.80384
0.0012900,100.2153,1.70994
0.0013000,101.4847,1.76258
0.0013100,102.2307,1.65654
